游戏名, 包名, 类型, 公司名, orgame, apkCode, appId, 媒体, 关键词
三国乱世霸王-三国志回合,com.xinsglsbw.mi,深圳麒麟聚宝金融科技有限公司,战争策略,-,-,-,mi,英雄爱三国
三国之空城计-卡牌放置挂机,com.slyx.sgzkcj.mi,深圳市神龙科技有限公司,战争策略,-,-,-,mi,英雄爱三国
天将传-三国演义,com.qy.tjz.mi,飞行游戏,战争策略,-,-,-,mi,英雄爱三国
征三国,com.xiaomi.zsg.liandong.mi,广州联动网络科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
少年三国传-挂机三国志,com.tiantu.snsgz.mi,深圳市北冥科技有限公司,战争策略,-,-,-,mi,英雄爱三国
单机坦克大战：全军出击,com.jjtk.mi,传娱,动作枪战,-,-,-,mi,英雄爱三国
霸世王朝-宫廷宫斗,com.cxhy.bswc.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
凤凰令-仙侠回合,com.yl.fhl.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
末日血战-丧尸挂机,com.xmmrxz.mi,深圳麒麟聚宝金融科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
三国裂-登录送马超,com.sanguolie.mi,北京武神世纪网络技术股份有限公司,战争策略,-,-,-,mi,英雄爱三国
王者降临,com.wangzhejianglin.mi,上海义乐信息科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
英雄无间道-策略卡牌,com.bhhd.lstd.mi,壁虎GM,网游RPG,-,-,-,mi,英雄爱三国
霸权三国-送孙尚香,com.youai.qile.bqsg.a.bb.qitian.mi,上饶正艮网络科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
智谋三国志,com.mqw.zmsgz.mi,深圳市摩掌信息技术有限公司,网游RPG,-,-,-,mi,英雄爱三国
守卫主公-三国志塔防,com.bmyx.swzg.mi,深圳市北冥科技有限公司,塔防迷宫,-,-,-,mi,英雄爱三国
爱豆,com.idol.android,爱豆网络,聊天社交,-,-,-,mi,英雄爱三国
三国杀,com.bf.sgs.hdexp.mi,杭州游卡网络技术有限公司,棋牌桌游,-,-,-,mi,英雄爱三国
掌上英雄联盟,com.tencent.qt.qtl,腾讯外发游戏,聊天社交,-,-,-,mi,英雄爱三国
天天爱军棋-经典对决,com.zengame.ttjq.mi,深圳市禅游科技股份有限公司,棋牌桌游,-,-,-,mi,英雄爱三国
真假英雄：口袋三国,com.tencent.tmgp.zjyxxb,深圳晴空游戏科技有限公司,经营策略,-,-,-,tencent,英雄爱三国
天天斗三国,com.tencent.tmgp.dpsg,腾讯,经营策略,-,-,-,tencent,英雄爱三国
梦梦爱三国,com.tencent.tmgp.mengmobile,杭州电梦网络科技有限公司,网络游戏,-,-,-,tencent,英雄爱三国
英雄无间道：三国策略卡牌,com.tencent.tmgp.lstd,深圳市壁虎互动科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
王者荣耀,com.tencent.tmgp.sgame,腾讯公司,网络游戏,-,-,-,tencent,英雄爱三国
掌上英雄联盟,com.tencent.qt.qtl,金亮,娱乐,-,-,-,tencent,英雄爱三国
英雄杀-送现金,com.qqgame.mic,腾讯科技光速工作室poker中心,经营策略,-,-,-,tencent,英雄爱三国
三国之刃,com.tencent.tmgp.sgzr,腾讯科技海纳产品中心(482685120),动作冒险,-,-,-,tencent,英雄爱三国
三国杀,bf.sgs.hdexp,杭州游卡网络技术有限公司,网络游戏,-,-,-,tencent,英雄爱三国
果宝三国,com.centurysoft.fruityrobo,深圳市创梦天地科技有限公司,角色扮演,-,-,-,tencent,英雄爱三国
三国挂机英雄,com.bailin.guaji.sango.mi,杭州爱掌科技有限公司,网游RPG,-,-,-,mi,英雄爱三国
爱唱,cn.banshenggua.aichang,北京众智创世科技有限公司,影音视听,-,-,-,mi,英雄爱三国
战棋三国,com.bantu.zqsgwy.mi,上海班图网络科技有限公司,战争策略,-,-,-,mi,英雄爱三国
三国志-吞食天地,com.sgz.tstd,SKY游戏开发团队,休闲创意,-,-,-,mi,英雄爱三国
